id;descripcio;nogis;uso;nivel;N_patente;Nombre_comercio;Id_persona;Aprobacion;Categoria;Actividad ;Permiso_salud;Vigencia_p;Tipo_rotulo;Dimension;Rotulo;Provincia;Lic_licor;Codigo_act;Nogis_1;N_finca;F_real;Derecho;Direccion_;Filial;N_plano_ca;Tipo_persona;Distrito;Canton;Este;Norte;Longitud;Latitud
8740;PREDIO ORDINARIO;314044000;;0;101;H Y J;101779;23/2/1999;COM;Talleres;101;;;0;NO;1;0;916;314044000;105582;;0;POZOS, DE LA ESCUELA REPUBLICA DE FRANCIA 115 NORTE.;;1-53136-1992;Fisica;POZOS;SANTA ANA;479260.02;1100044.67;9.94841;-84.18915
9773;PREDIO ORDINARIO;305039000;;0;683;LA CHUSPA;5529;29/7/1999;COM;Talleres;683;;;0;NO;1;0;917;305039000;101364;;0;POZOS, COSTADO NORTE DE HULES TECNICOS, (LA CHUSPA);;1-720350-1987;Juridica;POZOS;SANTA ANA;478930.94;1101595.46;9.96243;-84.19216
8680;PREDIO ORDINARIO;502094000;;0;50;TALLER  VILLARREAL;3722;16/2/1999;COM;Talleres;50;;;0;NO;1;0;920;502094000;562908;;0;DEL CEMENTERIO 122 ESTE.;;1-865350-2003;Fisica;PIEDADES;SANTA ANA;475968.51;1097774.69;9.92787;-84.21916
877;PREDIO ORDINARIO;112015000;;0;212;TALLER BRANDT;101805;7/1/1990;COM;Talleres;212;;;0;SI;1;0;929;112015000;583818;;0;SANTA ANA, CENTRO, DE LA GUARIA 500 ESTE.;;1-1097325-2006;Fisica;SANTA ANA;SANTA ANA;480637.54;1098376.52;9.93334;-84.17658
20101;PREDIO ORDINARIO;322176000;;0;83;TALLER;928;12/11/2003;COM;Talleres;83;;;0;NO;1;0;0;322176000;271862;;0;POZOS, CENTRO COMERCIAL LA CHISPA.;;1-866853-2003;Fisica;POZOS;SANTA ANA;479711.61;1099477.52;9.94329;-84.18503
6805;PREDIO ORDINARIO;312176000;;0;92;ELECTRONICA ROYKA;101774;1/1/1998;COM;Talleres;92;;;0;NO;1;0;938;312176000;293560;;0;POZOS, COSTADO SUR DE LA IGLESIA.;;1-564808-1984;Fisica;POZOS;SANTA ANA;479204.08;1100091.63;9.94884;-84.18966
7415;PREDIO ORDINARIO;204020000;;0;28;TALLER CARAMELO;4304;27/1/1998;COM;Talleres;28;;;0;SI;1;0;0;204020000;194716;;0;BRASIL, 100 MTS AL ESTE DE LA ESCUELA DE BRASIL.;;1-618557-1986;Fisica;BRASIL;SANTA ANA;475499.01;1098644.63;9.93573;-84.22345
8929;PREDIO ORDINARIO;200025000;;0;43;TALLER AGUILAR;101767;4/6/1999;COM;Talleres;43;;;0;NO;1;0;948;200025000;510573;;0;BRASIL, DE LA ENTRADA A CALLE COPEY 132 NOR-OESTE.;;1-649356-2000;Fisica;BRASIL;SANTA ANA;473881.05;1098436.87;9.93384;-84.2382
472;PREDIO ORDINARIO;121152000;;0;466;TALLER DEL VALLE;2269;12/3/1986;COM;Talleres;466;;;0;NO;1;0;949;121152000;417692;;0;DE LA INTERSECCION DE AVENIDA 06 CON CALLE 11, 77 MTS. AL OESTE.;;1-961751-1991;Fisica;SANTA ANA;SANTA ANA;480651.31;1097866.59;9.92872;-84.17645
1013;PREDIO ORDINARIO;535125000;;0;577;TALLER HERNANDEZ;15921;1/4/1991;COM;Talleres;577;;;0;NO;1;0;0;535125000;209832;;1;DEL ABASTECEDOR RIO ORO 800 SUR.;;1-31728-1977;Fisica;URUCA;SANTA ANA;478130.78;1097582.33;9.92614;-84.19944
12912;PREDIO ORDINARIO;313012000;;0;624;GONZACA;5702;2/4/2002;COM;Talleres;624;;NL;0;SI;1;0;949;313012000;11379;;8;DE LA IGLESIA 500 NORTE.;;1-0104936-1961;Juridica;POZOS;SANTA ANA;479195.13;1100668.57;9.95405;-84.18975
